target: goals
feature                       | gain     | share
------------------------------+----------+------
shots_per_90_last_10          |    13022 | 34.2%
xg_per_90_last_10             |     5198 | 13.6%
team_lambda_market_xg         |     2022 | 5.3%
npxg_per_90_last_10           |     1933 | 5.1%
pos_DEF                       |     1450 | 3.8%
xg_buildup_per_90_last_5      |     1246 | 3.3%
is_penalty_taker              |     1188 | 3.1%
days_into_season              |     1091 | 2.9%
xg_chain_per_90_last_5        |     1013 | 2.7%
key_passes_per_90_last_10     |      944 | 2.5%
xa_per_90_last_3              |      942 | 2.5%
opponent_lambda_market_xg     |      927 | 2.4%
xg_per_90_last_5              |      867 | 2.3%
xa_per_90_last_10             |      866 | 2.3%
xa_per_90_last_5              |      788 | 2.1%
pos_GKP                       |      768 | 2.0%
key_passes_per_90_last_5      |      760 | 2.0%
key_passes_per_90_last_3      |      486 | 1.3%
xg_per_90_last_3              |      470 | 1.2%
pos_FWD                       |      455 | 1.2%
gameweek                      |      433 | 1.1%
shots_per_90_last_5           |      310 | 0.8%
shots_per_90_last_3           |      279 | 0.7%
npxg_per_90_last_5            |      269 | 0.7%
pos_MID                       |      157 | 0.4%
was_home                      |      118 | 0.3%
role_mismatch                 |       49 | 0.1%
npxg_per_90_last_3            |       49 | 0.1%
