feature                       | gain     | share
------------------------------+----------+------
days_since_last_match         |      905 | 23.0%
days_into_season              |      777 | 19.8%
team_goals_for_last_5         |      550 | 14.0%
team_lambda_market_xg         |      458 | 11.7%
opponent_lambda_market_xg     |      364 | 9.3%
gameweek                      |      316 | 8.0%
team_goals_conceded_last_10   |       93 | 2.4%
was_home                      |       62 | 1.6%
team_goals_conceded_last_3    |       52 | 1.3%
team_goals_conceded_last_5    |       51 | 1.3%
team_id_6                     |       39 | 1.0%
team_id_5                     |       36 | 0.9%
team_id_13                    |       30 | 0.8%
team_id_1                     |       29 | 0.7%
team_cs_rate_last_3           |       26 | 0.7%
team_id_2                     |       18 | 0.5%
team_cs_rate_last_10          |       17 | 0.4%
team_id_17                    |       17 | 0.4%
team_id_14                    |       16 | 0.4%
team_id_4                     |       15 | 0.4%
team_id_16                    |       11 | 0.3%
team_id_20                    |       11 | 0.3%
team_id_19                    |        9 | 0.2%
team_id_7                     |        8 | 0.2%
team_cs_rate_last_5           |        5 | 0.1%
team_id_11                    |        3 | 0.1%
team_id_18                    |        3 | 0.1%
team_id_12                    |        2 | 0.1%
team_id_3                     |        2 | 0.0%
team_id_9                     |        2 | 0.0%
team_id_15                    |        1 | 0.0%
team_id_8                     |        0 | 0.0%
team_id_10                    |        0 | 0.0%
