Subgroup ECE — test season 2024/25

market_cs_prob decile | n   | ece_market | ece_model
----------------------+-----+------------+----------
  D1 [0.027, 0.102)  |  76 | 0.028     | 0.043
  D2 [0.102, 0.142)  |  76 | 0.044     | 0.024
  D3 [0.142, 0.177)  |  76 | 0.012     | 0.022
  D4 [0.177, 0.205)  |  76 | 0.019     | 0.058
  D5 [0.205, 0.236)  |  76 | 0.009     | 0.017
  D6 [0.236, 0.264)  |  75 | 0.069     | 0.072
  D7 [0.264, 0.295)  |  77 | 0.045     | 0.032
  D8 [0.295, 0.338)  |  76 | 0.000     | 0.048
  D9 [0.338, 0.389)  |  76 | 0.035     | 0.035
  D10 [0.389, 0.590)  |  76 | 0.092     | 0.076

top-6 team        | n   | ece_market | ece_model
------------------+-----+------------+----------
  Arsenal         |  38 | 0.062     | 0.079
  Liverpool       |  38 | 0.206     | 0.075
  Man City        |  38 | 0.042     | 0.109
  Man Utd         |  38 | 0.040     | 0.070
  Spurs           |  38 | 0.101     | 0.019
  Chelsea         |  38 | 0.067     | 0.074
