Fold 23 — top-38 GWs by |bias|

 GW | bias    | n
 ---+---------+--------
  1 | +0.158 | 658
  3 | +0.116 | 685
 21 | -0.109 | 787
  5 | +0.095 | 717
 18 | +0.094 | 700
 36 | -0.092 | 859
  8 | +0.079 | 725
  2 | +0.077 | 595
 28 | +0.077 | 924
 29 | +0.076 | 344
 13 | +0.071 | 747
 12 | +0.070 | 743
  9 | +0.068 | 730
 35 | +0.067 | 960
  7 | +0.066 | 804
 25 | +0.061 | 982
 30 | +0.056 | 842
 34 | -0.053 | 1099
 10 | +0.047 | 731
 16 | +0.046 | 758
  4 | +0.043 | 703
 11 | +0.042 | 733
 14 | +0.041 | 753
 32 | +0.041 | 846
 23 | +0.040 | 809
 31 | +0.038 | 844
  6 | +0.032 | 718
 27 | -0.032 | 832
 15 | -0.030 | 757
 17 | -0.029 | 686
 26 | -0.028 | 649
 19 | +0.025 | 771
 37 | +0.024 | 1132
 38 | +0.011 | 865
 22 | -0.011 | 799
 20 | -0.008 | 773
 33 | +0.001 | 851
 24 | -0.001 | 814
